	z-dna_#	z-dna.slop100_#	z-dna.slop200_#	z-dna_%	z-dna.slop100_%	z-dna.slop200_%	quadruplex_#	quadruplex.slop100_#	quadruplex.slop200_#	quadruplex_%	quadruplex.slop100_%	quadruplex.slop200_%	sidd_#	sidd.slop100_#	sidd.slop200_#	sidd_%	sidd.slop100_%	sidd.slop200_%	h-dna_#	h-dna.slop100_#	h-dna.slop200_#	h-dna_%	h-dna.slop100_%	h-dna.slop200_%
miR-216a	0	142	342	0.0	0.5666626760844408	1.3647791212737939	0	107	292	0.0	0.5283167925739397	1.4417617143139287	219	453	678	1.4317468619246863	2.961558577405858	4.432531380753138	0	123	306	0.0	0.7192982456140351	1.789473684210526
miR-219	0	78	183	0.0	0.31126541362384774	0.7302765473482581	0	43	119	0.0	0.21231422505307856	0.5875672739841011	33	91	153	0.2157426778242678	0.5949267782426778	1.0002615062761506	0	48	122	0.0	0.2807017543859649	0.7134502923976608
miR-365	2	137	343	0.007981164451893532	0.5467097649547069	1.3687697034997406	18	273	423	0.0888757221152422	1.3479484520811733	2.088579469708191	75	310	493	0.49032426778242677	2.0266736401673637	3.223064853556486	0	120	282	0.0	0.7017543859649122	1.6491228070175439
miR-375	0	61	121	0.0	0.24342551578275268	0.4828604493395587	0	35	80	0.0	0.1728139041129709	0.39500320940107636	10	28	54	0.0653765690376569	0.18305439330543932	0.3530334728033473	0	22	48	0.0	0.1286549707602339	0.2807017543859649
miR-103/107	3	368	782	0.011971746677840296	1.4685342591484098	3.1206353006903704	3	224	539	0.014812620352540364	1.1060089863230138	2.6613341233397523	60	275	601	0.3922594142259414	1.7978556485355648	3.9291317991631796	0	136	364	0.0	0.7953216374269005	2.128654970760234
miR-129	0	504	1015	0.0	2.01125344187717	4.050440959335967	37	447	941	0.18268898434799782	2.2070804325285143	4.646225250580161	376	823	1246	2.4581589958158996	5.380491631799163	8.14592050209205	4	432	829	0.023391812865497078	2.526315789473684	4.847953216374269
miR-135	0	173	427	0.0	0.6903707250887905	1.703978610479269	0	210	537	0.0	1.0368834246778253	2.651459043104725	115	343	722	0.7518305439330544	2.2424163179916317	4.720188284518829	0	137	415	0.0	0.801169590643275	2.426900584795322
miR-182	0	153	365	0.0	0.6105590805698552	1.4565625124705694	1	129	289	0.0049375401175134545	0.6369426751592357	1.4269490939613885	114	285	431	0.7452928870292888	1.8632322175732217	2.8177301255230125	0	93	237	0.0	0.543859649122807	1.3859649122807018
miR-217	0	237	425	0.0	0.9457679875493834	1.6959974460273752	0	112	285	0.0	0.5530044931615069	1.4071989334913346	102	266	504	0.6668410041841004	1.7390167364016735	3.2949790794979084	0	100	269	0.0	0.5847953216374269	1.5730994152046782
miR-15/16/195/424/497	0	742	1750	0.0	2.9610120116525	6.98351889540684	0	556	1143	0.0	2.745272305337481	5.643608354317879	81	443	980	0.5295502092050209	2.896182008368201	6.406903765690377	1	426	868	0.0058479532163742695	2.4912280701754383	5.076023391812866
