	z-dna_slop100>slop_#	z-dna_slop200>slop100_#	z-dna_slop100>slop_%	z-dna_slop200>slop100_%	quadruplex_slop100>slop_#	quadruplex_slop200>slop100_#	quadruplex_slop100>slop_%	quadruplex_slop200>slop100_%	sidd_slop100>slop_#	sidd_slop200>slop100_#	sidd_slop100>slop_%	sidd_slop200>slop100_%	h-dna_slop100>slop_#	h-dna_slop200>slop100_#	h-dna_slop100>slop_%	h-dna_slop200>slop100_%
61	98	145	0.39107705814278304	0.578634422762281	163	115	0.804819039154693	0.5678171135140473	104	235	0.6799163179916319	1.536349372384937	83	154	0.4853801169590643	0.9005847953216375
62	116	126	0.4629075382098248	0.5028133604692925	104	154	0.5135041722213993	0.7603811780970721	94	161	0.6145397489539749	1.0525627615062763	94	137	0.5497076023391813	0.801169590643275
63	423	567	1.6880162815754818	2.262660122111816	719	494	3.550091344492174	2.4391448180516466	845	453	5.524320083682008	2.961558577405858	268	490	1.567251461988304	2.865497076023392
64	130	155	0.5187756893730795	0.6185402450217486	262	271	1.2936355107885251	1.3380733718461464	187	250	1.2225418410041842	1.6344142259414225	148	209	0.8654970760233919	1.2222222222222223
65	302	467	1.2051558322359233	1.8636018995171395	2195	503	10.837900557942033	2.483582679109268	428	463	2.7981171548117154	3.0269351464435146	1122	523	6.561403508771931	3.0584795321637426
66	295	762	1.1772217566542957	3.0408236561714355	599	878	2.9575865303905595	4.335160223176813	359	381	2.347018828451883	2.4908472803347284	1032	693	6.035087719298246	4.052631578947368
67	243	306	0.9697114809050641	1.2211181611397104	274	294	1.3528859921986867	1.4516367945489557	318	346	2.0789748953974896	2.2620292887029287	273	310	1.5964912280701755	1.8128654970760234
68	30	46	0.11971746677840298	0.18356678239355123	23	34	0.11356342270280946	0.16787636399545747	15	18	0.09806485355648535	0.11767782426778244	14	14	0.08187134502923976	0.08187134502923976
69	222	249	0.885909254160182	0.9936549742607447	164	221	0.8097565792722066	1.0911963659704735	235	234	1.536349372384937	1.5298117154811715	270	239	1.5789473684210527	1.3976608187134503
70	509	444	2.0312063530069038	1.771818508320364	206	328	1.0171332642077717	1.6195131585444131	295	291	1.9286087866108785	1.9024581589958158	224	326	1.3099415204678362	1.9064327485380117
71	120	185	0.4788698671136119	0.7382577118001517	300	1017	1.4812620352540364	5.021478299511183	126	1721	0.8237447698744771	11.251307531380753	102	258	0.5964912280701754	1.5087719298245614
72	181	233	0.7222953828963646	0.9298056586455964	152	229	0.7505060978620451	1.1306966869105812	149	149	0.9741108786610879	0.9741108786610879	128	169	0.7485380116959065	0.9883040935672515
73	180	240	0.7183048006704178	0.9577397342272238	109	217	0.5381918728089666	1.0714462055004197	157	156	1.0264121338912133	1.0198744769874477	102	166	0.5964912280701754	0.9707602339181286
74	338	353	1.3488167923700067	1.4086755257592083	293	341	1.4466992544314423	1.683701180072088	254	279	1.6605648535564854	1.8240062761506275	174	253	1.0175438596491229	1.4795321637426901
75	863	807	3.443872460992059	3.22039985633904	688	753	3.397027600849257	3.7179677084876315	600	587	3.922594142259414	3.8376046025104604	429	552	2.508771929824561	3.2280701754385968
